x	u
           -4.921875	(0.006882451874145934+0.058786470775102906j)
          -4.8828125	(0.006847222697883737+0.059017789834165946j)
            -4.84375	(0.006844169017804047+0.05923882926283208j)
             -4.6875	(0.0068583382306973695+0.060200013888804804j)
         -4.66796875	(0.006840045454127086+0.060397667851471604j)
         -3.69140625	(0.020036198048805135+0.10562154487574883j)
         -3.61328125	(0.022479405012193858+0.11303750648316002j)
          -3.5546875	(0.024411480385040277+0.11890429409455482j)
         -3.53515625	(0.025079346165871652+0.12094283811747285j)
          -3.3203125	(0.03368794349361502+0.14538199215464698j)
         -2.91015625	(0.05630450292322418+0.20749063260492012j)
           -2.890625	(0.05759043777143783+0.2110067514060643j)
             -2.8125	(0.06289859209800208+0.22568371263802733j)
         -2.67578125	(0.07290990383419535+0.253925113815193j)
          -2.5390625	(0.08490087063788343+0.2861120507970962j)
                -2.5	(0.08864730663077902+0.2962203063200153j)
         -2.24609375	(0.11796835879158385+0.37080625421018487j)
           -1.953125	(0.16209115756565023+0.469582857482355j)
          -1.0546875	(0.4844872685530706+0.5948233999114737j)
         -0.99609375	(0.5275116868013179+0.5631873536575894j)
             -0.9375	(0.5757730642456693+0.5209417905100941j)
          -0.8984375	(0.6113086471558811+0.48609767880945687j)
           -0.859375	(0.6497886152041547+0.44527462765323245j)
           -0.703125	(0.8420189338075845+0.2111969366413792j)
         -0.29296875	(1.8138645107941134-1.1908002157563924j)
           -0.234375	(2.001261745057856-1.4716094518030334j)
          -0.1953125	(2.1214651878917126-1.6520773518539782j)
            -0.15625	(2.2318817208102546-1.81807350850832j)
         -0.13671875	(2.28162012241176-1.8928873423923749j)
          -0.1171875	(2.3266772193628635-1.9606595319824316j)
         -0.01953125	(2.4579251455818856-2.1579558730111623j)
             0.15625	(2.2318817208102386-1.8180735085082997j)
           0.4296875	(1.4031241109465045-0.5816063469325494j)
            0.859375	(0.6497886152041502+0.4452746276532398j)
          1.07421875	(0.47113917494743274+0.6032708886701739j)
          1.54296875	(0.25769184371110887+0.60332978740807j)
          1.62109375	(0.23514237320250758+0.5814427598725275j)
            1.953125	(0.1620911575656521+0.46958285748235395j)
          2.12890625	(0.1342525059293027+0.40886641490220604j)
              2.1875	(0.12593264470261772+0.38963601243678014j)
           2.3046875	(0.1105451864867205+0.35244291953165946j)
          2.87109375	(0.058904409260878365+0.21462293488931694j)
          2.91015625	(0.0563045029232252+0.207490632604922j)
          3.37890625	(0.03116202737778824+0.13800838189699569j)
           3.6328125	(0.021881826087806033+0.11112194783064744j)
          3.65234375	(0.021300211664219137+0.10925811983525807j)
          3.92578125	(0.013715008166959197+0.08776694075655381j)
          4.08203125	(0.009765754520167466+0.07871060000412777j)
           4.2578125	(0.007420878209130094+0.07068164724203589j)
           4.4921875	(0.00730972006724287+0.06352216647005364j)
           4.9609375	(0.006819475246154116+0.058600662833634964j)
